Flower_Name,Color,Average_Height_cm,Scent,Bloom_Season,Petal_Shape
Sunflower,Yellow,147.11489353567617,Strong,Summer,Round
Rose,Pink,,Mild,,Oval
Daisy,Yellow,21.150933734201658,Mild,,
Sunflower,Yellow,154.2192508611096,Mild,Summer,Round
,Yellow,51.21535756705035,Strong,Spring,Star-shaped
Sunflower,,154.15369997879526,Strong,Summer,Round
Sunflower,Yellow,,Mild,Spring,Round
Marigold,Orange,51.96679154059456,Strong,Spring,Star-shaped
Lotus,White,75.49002424662244,Strong,Spring,Round
Lavender,Purple,37.761312136107016,Mild,,Elongated
Daisy,White,28.098623896334367,None,Spring,Round
Lotus,Pink,78.42926737511728,None,Summer,Round
Marigold,Yellow,53.90120684796815,Mild,Winter,Star-shaped
Sunflower,,152.64393904493903,Strong,Spring,Round
Lotus,White,76.20391706273192,Mild,Spring,Round
Rose,Pink,63.60363349072422,None,Winter,Oval
Lavender,Purple,42.19214108271307,Strong,Winter,Elongated
Orchid,Purple,27.2768033582692,Strong,Spring,
Lavender,Purple,37.51619644663622,None,Summer,
Orchid,White,32.05039060426469,Strong,Fall,Oval
Daisy,Yellow,20.891296297698716,Mild,,Round
Sunflower,Yellow,,Mild,Summer,Round
Orchid,Purple,26.824799189251273,None,Winter,Oval
Rose,White,62.656632501162186,None,,Oval
Daisy,White,25.61947327509764,Mild,,Round
Daisy,Yellow,26.103908690958654,Strong,Summer,Round
Lavender,Purple,43.317195995176434,Mild,Fall,Elongated
Daisy,,25.169807240381296,None,Fall,Round
Tulip,Yellow,45.90364546127585,Mild,Fall,Elongated
Daisy,Yellow,24.42045686992232,Strong,Spring,Round
Orchid,White,33.63216122860024,None,Spring,Oval
Tulip,,40.62074314787813,None,Summer,Elongated
Lavender,,38.223467419820416,Mild,Fall,Elongated
Lotus,Pink,80.01974847178528,Strong,Summer,Round
Daisy,Yellow,26.560294820568856,None,Spring,Round
Tulip,Yellow,48.34382685953071,Mild,Summer,Elongated
Daisy,Yellow,29.54981460700053,Strong,Winter,Round
Daisy,Yellow,22.825989818309225,Strong,Spring,Round
Daisy,,21.4883643077853,None,Summer,Round
Lavender,Purple,40.24641417568429,Strong,Fall,Elongated
Marigold,Yellow,53.42550950240913,Mild,Summer,Star-shaped
Marigold,Yellow,51.341528902112564,Strong,Spring,Star-shaped
Marigold,Yellow,52.27468549579172,Strong,Winter,Star-shaped
Marigold,Yellow,47.06588821146225,None,Spring,Star-shaped
Marigold,Orange,47.063050972759235,None,Summer,Star-shaped
Lotus,White,82.08919369625698,None,Summer,Round
Daisy,Yellow,27.506992921566685,Strong,Summer,Round
Tulip,,44.18468609005281,Mild,Fall,Elongated
Daisy,White,22.821942843016554,Strong,Fall,Round
Marigold,Yellow,49.91142815741532,None,Summer,Star-shaped
Tulip,Yellow,47.0721076698004,Mild,Summer,Elongated
Lavender,Purple,39.61450514109666,None,Winter,Elongated
Sunflower,Yellow,154.06628944303932,None,Fall,Round
Tulip,Yellow,46.58071718960356,Strong,,Elongated
Daisy,White,25.011245331397177,Mild,Fall,Round
Lotus,Pink,81.01399226921494,Strong,Winter,
Lavender,Purple,43.343926350356625,Mild,Fall,Elongated
Tulip,Red,46.19261178599687,Mild,Winter,Elongated
Tulip,Purple,49.15955778791893,Strong,Winter,Elongated
Orchid,Purple,26.71080123920793,Mild,,Oval
Marigold,Yellow,50.11718378701082,None,Summer,Star-shaped
Marigold,Yellow,49.33044995242095,,Summer,Star-shaped
Lotus,,77.01853218820756,Mild,Summer,Round
Sunflower,Yellow,153.6181178522402,None,Winter,Round
Rose,Pink,58.65074794944796,Strong,Winter,Oval
Lavender,Purple,42.031064665034386,None,Summer,Elongated
Marigold,Yellow,48.67841572143912,Strong,Fall,Star-shaped
Marigold,Yellow,48.648264099864775,None,Fall,Star-shaped
Orchid,White,,Mild,Fall,Oval
Daisy,Yellow,27.37865440681456,Strong,Spring,Round
Rose,Pink,62.85910437337238,,Spring,Oval
Sunflower,Yellow,147.5112747746368,None,Spring,Round
Rose,White,56.76793052402173,None,Summer,Oval
Tulip,Purple,43.584864446409306,Mild,Winter,Elongated
Orchid,Purple,30.27043271530374,None,Spring,Oval
Tulip,Purple,43.312100129023655,Strong,Summer,Elongated
Tulip,Yellow,47.63885177191859,,Winter,Elongated
Rose,White,55.99327538317662,Mild,Fall,Oval
Lotus,White,79.96563775420287,Strong,Summer,Round
Daisy,Yellow,28.887812254640362,Mild,Summer,Round
Tulip,Purple,44.63846683273702,None,Fall,Elongated
Sunflower,,148.2627551447407,,Summer,Round
Daisy,Yellow,20.344295808972785,Strong,Fall,Round
Tulip,Purple,45.96665372094233,Mild,Winter,Elongated
Lotus,Pink,80.05657386509316,None,Fall,Round
,White,29.014640532432256,Strong,Spring,Oval
Daisy,Yellow,29.084233549268326,None,Winter,Round
Daisy,Yellow,26.588115008535386,Strong,Winter,Round
Rose,White,58.52117621686362,None,Spring,Oval
Lotus,Pink,79.29102667919636,None,Summer,Round
Lotus,White,84.03245680644345,None,Spring,Round
,Purple,40.38812310369769,Strong,Spring,Elongated
Sunflower,Yellow,150.15141175193236,Mild,Spring,Round
Rose,White,58.62959035285565,Mild,Spring,Oval
Daisy,Yellow,21.54389707593092,,Spring,Round
Tulip,Red,42.67916526008339,Strong,Fall,Elongated
Rose,White,56.171057220910846,,Spring,Oval
Sunflower,Yellow,154.80410050948728,Mild,Spring,Round
Tulip,Yellow,40.30647643245744,Mild,Winter,Elongated
Orchid,White,26.836248463534556,Mild,Spring,Oval
Daisy,Yellow,20.610286924135096,Strong,Spring,Round
Daisy,White,28.462261987552402,Mild,Summer,Round
Lavender,,37.038540193857926,None,Spring,Elongated
Sunflower,Yellow,154.51454306137595,Mild,Spring,Round
Lotus,White,79.19749665471633,None,Winter,Round
Marigold,Orange,48.671351942634956,Strong,Spring,Star-shaped
,Yellow,46.03883344253354,Mild,Winter,Elongated
Marigold,Orange,50.37573875011345,Mild,Summer,Star-shaped
Rose,Pink,60.84247240250059,Strong,Summer,Oval
Sunflower,Yellow,146.20192198959938,Mild,Fall,Round
Tulip,Purple,48.26581297592824,Strong,Spring,Elongated
Marigold,Yellow,46.60239322366782,Strong,Spring,Star-shaped
Lavender,Purple,,None,Fall,Elongated
,Purple,35.01071146961327,Strong,Fall,Elongated
Sunflower,Yellow,146.23770726288794,Mild,Summer,Round
Lotus,Pink,75.13702090232928,None,Fall,Round
Rose,Red,63.50523381746247,Mild,Fall,Oval
Marigold,Yellow,51.010008798087284,None,Spring,Star-shaped
Orchid,Purple,26.95675011736238,None,Summer,Oval
Lotus,White,77.32237917417113,Strong,Fall,Round
Orchid,White,25.126732566702962,Strong,Spring,Oval
Rose,Red,60.31968959479089,Mild,Fall,Oval
Lavender,Purple,36.28075108597509,Mild,Spring,Elongated
Lotus,White,77.44147737476933,None,Summer,Round
Rose,White,57.6245549670589,Mild,Summer,Oval
Lavender,Purple,36.820765701945234,,Fall,Elongated
Marigold,Yellow,54.544746977001736,Mild,Winter,Star-shaped
Sunflower,Yellow,146.84313072678236,Mild,Fall,
Lotus,Pink,82.47774234358889,Mild,Summer,Round
Tulip,Red,47.77802309061615,,Winter,Elongated
Daisy,White,28.486734899688766,Strong,Summer,Round
Lavender,Purple,43.01459819541144,None,Summer,Elongated
Sunflower,Yellow,152.26944642043827,,Spring,Round
Lotus,Pink,79.79837092491931,Mild,Fall,Round
Lotus,White,76.7191123734596,Mild,Winter,Round
,Pink,,Strong,Summer,Oval
Lotus,White,,Strong,Fall,Round
Sunflower,Yellow,145.99513538020352,None,Winter,
Lotus,,,Mild,Winter,Round
Tulip,Purple,40.49775660268308,,Summer,Elongated
Marigold,Orange,47.94421945073601,Mild,Spring,Star-shaped
Lotus,White,83.55139343898915,Strong,Spring,Round
Rose,Red,62.1841293361849,Strong,Summer,Oval
Tulip,Yellow,49.388146286727775,Strong,Winter,Elongated
Tulip,Red,46.17659965078301,None,Spring,Elongated
Lotus,Pink,,Mild,Winter,Round
Tulip,Yellow,,Mild,Spring,Elongated
Sunflower,Yellow,153.11674932364002,Strong,Winter,Round
Daisy,White,23.283953572268015,Mild,Fall,Round
Rose,White,56.560521448233686,None,Winter,Oval
Marigold,Orange,54.388350321204385,Strong,Fall,Star-shaped
Orchid,,30.546623244358596,Mild,,Oval
Rose,Red,56.415802212349476,Strong,Summer,Oval
Orchid,White,32.10772563022424,None,Fall,Oval
Orchid,White,30.518465347914148,Mild,Winter,Oval
Orchid,Purple,25.386131691076244,Mild,Summer,Oval
Rose,Red,64.78858532034036,Mild,Summer,Oval
Daisy,Yellow,26.090868986230678,None,Winter,Round
Marigold,Yellow,51.81420766268057,None,Winter,Star-shaped
Orchid,Purple,,Strong,Fall,Oval
Orchid,White,28.501774054836545,Strong,Summer,Oval
Rose,Pink,58.78925768691984,Strong,Spring,Oval
Daisy,Yellow,29.535231209043843,Strong,Fall,Round
Sunflower,Yellow,152.5121191451689,None,Fall,Round
Marigold,Orange,45.35837879218952,Mild,Spring,Star-shaped
Lavender,Purple,41.240070219268034,Mild,Fall,Elongated
Orchid,White,30.568132854618447,Mild,Summer,Oval
Rose,Pink,56.1406709059935,,Winter,Oval
Marigold,Yellow,47.59923787897885,Strong,Winter,Star-shaped
Orchid,,31.60688763826954,Strong,Spring,Oval
Rose,Pink,61.447166288824164,None,Winter,Oval
Sunflower,Yellow,150.80135133803617,None,Spring,Round
Sunflower,Yellow,150.21615853478795,None,Spring,Round
Daisy,White,27.789959911084825,Mild,,Round
Daisy,Yellow,20.65224554351491,None,Winter,Round
Orchid,Purple,26.074766307263772,,Winter,Oval
Lavender,,,Mild,Spring,Elongated
Lotus,White,83.74737572275927,None,Summer,
,,,Mild,Spring,Oval
Orchid,White,31.428903689667376,,Fall,Oval
,,35.67456722432396,Strong,Summer,
Sunflower,Yellow,,None,Spring,Round
Rose,White,61.0112211309126,None,Winter,Oval
Daisy,Yellow,22.813400638354903,Mild,Fall,Round
Lavender,Purple,35.27136004307237,Strong,Winter,Elongated
Sunflower,Yellow,146.26199862101618,,Fall,Round
Lavender,Purple,43.487341573597604,None,,Elongated
Tulip,Yellow,,Mild,Winter,Elongated
Marigold,Yellow,49.18603586909414,None,Winter,Star-shaped
Tulip,Yellow,40.614401373031086,Strong,Spring,
Lotus,Pink,75.94910413986688,Mild,Spring,Round
Marigold,Orange,,None,Winter,Star-shaped
Tulip,Red,41.08363573628971,Strong,Spring,Elongated
,,26.38284903465427,Strong,Winter,Round
Tulip,Purple,49.005745972649265,None,Spring,Elongated
Rose,Red,56.07525302876076,Strong,Summer,Oval
Lotus,Pink,78.44881929223345,Mild,Spring,
,Purple,33.7528990297818,Strong,,Oval
Sunflower,Yellow,149.26240403754923,Mild,Fall,Round
Tulip,Red,42.44712087199854,Mild,Spring,Elongated
Lavender,Purple,36.69296812827774,Strong,Winter,Elongated
Tulip,Purple,47.02862625460904,Strong,Winter,Elongated
Tulip,Red,44.88958058257481,Strong,Spring,Elongated
Tulip,Yellow,49.14508364215599,Strong,Spring,Elongated
Rose,Red,62.68359695002309,None,,
Daisy,,27.760715293780706,Strong,Fall,Round
Tulip,Purple,41.131103986788034,Strong,Spring,Elongated
Lotus,Pink,,Strong,Winter,Round
Rose,Pink,61.410230919227246,,Winter,Oval
Sunflower,Yellow,153.05070723196727,Mild,Summer,Round
Rose,Pink,61.29710616974261,Strong,Summer,Oval
Rose,Pink,63.509449532872104,None,Fall,Oval
Lavender,Purple,35.32068167037348,Strong,Winter,Elongated
Tulip,Yellow,42.80705803471643,None,Fall,Elongated
Tulip,Yellow,43.00520127613755,Mild,Summer,Elongated
Orchid,White,31.728428242031153,,Winter,Oval
Daisy,White,24.764088897117478,Mild,Winter,Round
Orchid,Purple,28.053865063854868,Mild,Spring,Oval
Sunflower,Yellow,149.21520021465662,Strong,Spring,Round
Daisy,White,27.108831816071387,Mild,Spring,Round
Lavender,Purple,38.01899362870781,Mild,Spring,Elongated
Orchid,White,30.531647205911348,None,Fall,Oval
Lavender,Purple,40.94887035484666,Strong,Spring,Elongated
Orchid,White,25.513897619332386,Strong,Spring,Oval
Sunflower,Yellow,148.48218923548208,None,Summer,Round
Tulip,,43.35183273331778,Strong,Winter,Elongated
Lotus,Pink,80.79871092205825,None,Fall,Round
Tulip,Purple,45.796474882206894,None,Winter,Elongated
Daisy,White,22.32447048419246,Mild,Winter,Round
Rose,,64.18517920492643,Strong,Summer,Oval
,Pink,84.06773033670632,Mild,Spring,Round
Sunflower,Yellow,153.13164426957647,Strong,Fall,Round
,Pink,60.53591420713901,None,Summer,Oval
Daisy,White,23.086253179795637,None,Summer,Round
Tulip,Yellow,46.42021748850975,,Winter,Elongated
Lotus,Pink,,Strong,Spring,Round
Rose,Pink,62.19657439967101,Strong,Winter,Oval
Lotus,White,82.18400299348156,Strong,Winter,Round
Tulip,Purple,45.103552763421995,None,Winter,Elongated
Lotus,White,81.33938094741437,,Summer,Round
Marigold,Orange,54.124456120538646,None,Fall,Star-shaped
Orchid,White,31.19361893635957,Strong,Fall,Oval
Rose,Red,60.54895515290597,None,Spring,Oval
Orchid,White,34.503184044979704,None,Spring,
Sunflower,Yellow,147.09321134734847,Mild,Winter,Round
Marigold,Yellow,45.482818164890745,Mild,Winter,Star-shaped
Rose,Pink,57.57879109912329,Strong,Summer,Oval
Sunflower,Yellow,148.62612215489665,,Summer,
Orchid,White,32.18239268461778,Mild,Winter,Oval
Daisy,White,27.894473953361985,None,Fall,Round
Lotus,Pink,82.5833925100636,Strong,Fall,Round
Daisy,Yellow,22.77956754495348,Mild,Summer,Round
Lotus,Pink,82.28152336082708,None,Fall,Round
Marigold,Orange,50.916352397119084,Strong,,Star-shaped
Rose,Red,60.711915767538756,Strong,Fall,Oval
Marigold,Orange,50.88620304829569,None,Summer,Star-shaped
Daisy,,24.87445530507755,Strong,Fall,Round
Lavender,Purple,38.823236945113706,Strong,Winter,Elongated
Tulip,Purple,45.312742198347024,Strong,Summer,Elongated
Daisy,White,26.524715218686666,None,Winter,Round
Orchid,White,28.448816520117497,Mild,Winter,Oval
,Purple,,None,Summer,Elongated
Tulip,Red,,None,Winter,
Lotus,Pink,76.41057421659404,Strong,Winter,Round
Lotus,White,75.6450196775538,Strong,Fall,Round
Lavender,Purple,42.14200825086915,Mild,Fall,Elongated
Rose,Red,59.72804447706787,None,,Oval
Daisy,White,26.49546492331287,None,,Round
Orchid,White,27.16889446435426,Mild,Winter,Oval
Daisy,Yellow,24.420698565798066,None,Winter,Round
Lotus,Pink,79.38225429861617,None,Spring,Round
Lavender,Purple,37.75113614626244,Mild,Winter,Elongated
Orchid,White,29.809816590843262,Mild,Summer,Oval
Lotus,Pink,79.93071100501858,Strong,Fall,
Sunflower,Yellow,154.37838808862733,Strong,Spring,Round
Tulip,Red,41.147201799589574,Strong,Spring,
Lotus,Pink,75.24708888012046,None,Summer,Round
Lavender,Purple,36.935348783192325,Strong,Summer,Elongated
Marigold,Yellow,47.17666925846386,None,Spring,Star-shaped
Daisy,Yellow,22.304919614296146,Mild,Winter,Round
Rose,,57.72507573669221,Mild,Spring,Oval
Rose,Pink,64.64213572076785,None,Summer,Oval
Tulip,Yellow,49.045747831829594,Strong,Summer,Elongated
Sunflower,Yellow,151.48741191173286,Mild,Spring,Round
Lotus,,77.2535482294386,Mild,Winter,Round
Lavender,Purple,,Mild,Spring,
Daisy,Yellow,24.917183657182854,Mild,Summer,Round
Daisy,Yellow,21.093095445087233,Strong,Fall,Round
Lotus,Pink,84.76872861770724,Strong,Winter,
Sunflower,Yellow,148.27506159734347,Strong,Fall,Round
Lotus,Pink,,None,Fall,Round
Orchid,Purple,34.154748016042916,Mild,Spring,Oval
Lavender,Purple,37.4031570406014,Strong,Winter,Elongated
Rose,White,59.530504886349625,None,Fall,Oval
Lotus,Pink,,Mild,Winter,Round
,Yellow,45.41105032759026,Mild,Fall,Elongated
Orchid,Purple,29.77375270618046,Strong,Fall,Oval
Rose,White,,Mild,Fall,Oval
Orchid,White,33.76765916551464,Mild,Summer,Oval
Marigold,Yellow,48.67325984008705,Strong,Summer,
Daisy,Yellow,21.39581776495745,Strong,Summer,Round
Rose,Pink,58.80148041243708,None,Spring,Oval
Orchid,Purple,26.12424810254524,None,Spring,Oval
Orchid,White,29.170312426771137,None,Summer,Oval
Lotus,Pink,75.68270516443823,Strong,Fall,Round
Lavender,Purple,44.70900800444309,None,Winter,Elongated
Lavender,,42.28684522356367,None,Fall,Elongated
Lavender,Purple,39.28191334932158,Strong,Summer,Elongated
Lotus,White,75.08026743378107,Strong,Spring,Round
,Purple,40.96200515836331,None,Spring,Elongated
Tulip,Purple,46.90906318440227,Strong,Spring,Elongated
Rose,Red,56.64893102119122,None,Fall,Oval
Tulip,Purple,44.339199119999265,Strong,Spring,Elongated
Rose,White,55.074730575710625,Strong,Spring,Oval
Lavender,Purple,40.805977153340855,Mild,Summer,Elongated
,White,30.503677910901317,Mild,Winter,Oval
Lavender,Purple,35.83486458692525,Mild,Winter,Elongated
Rose,Pink,57.95869456213936,None,Spring,Oval
Lavender,Purple,38.15903617152806,Mild,Fall,Elongated
,White,81.35429510882602,Strong,Summer,
Orchid,White,27.76672449539483,None,Winter,Oval
Orchid,Purple,34.591637654445464,None,Summer,Oval
Sunflower,Yellow,153.4940839662069,Strong,Spring,Round
Sunflower,Yellow,154.0848688948015,Mild,Summer,Round
,Purple,44.46418474365908,Mild,Spring,Elongated
Marigold,Orange,51.30366510426801,None,Fall,Star-shaped
Sunflower,Yellow,145.8357855296007,,Spring,Round
Orchid,Purple,29.739151876245476,Mild,Summer,Oval
Marigold,Orange,54.00607236592627,None,Winter,Star-shaped
Orchid,Purple,34.862812968358504,Mild,Winter,Oval
Lotus,,77.45672040255111,None,Summer,Round
Lotus,White,75.81485683308196,Mild,,Round
Marigold,Yellow,46.1281733196686,None,Spring,Star-shaped
Sunflower,Yellow,145.0470319876776,Strong,Winter,
Tulip,Yellow,44.12394242055536,Strong,Summer,Elongated
,White,25.640502911469916,Strong,Fall,Round
Rose,Pink,60.2959045139453,None,Spring,Oval
Lotus,Pink,76.7512829636926,Strong,Fall,Round
Lavender,Purple,,Strong,Summer,Elongated
,White,58.132290504492744,None,Spring,Oval
Sunflower,Yellow,153.7598782151771,Strong,Winter,Round
Tulip,Yellow,48.05872206027538,Mild,Spring,Elongated
Tulip,Red,41.1194042768936,Mild,Winter,Elongated
Orchid,White,34.96281403597819,Mild,Winter,
Sunflower,Yellow,145.53074772911324,Mild,Summer,Round
Marigold,Orange,51.55130815415274,Mild,Summer,Star-shaped
Orchid,Purple,29.432894391027908,None,Summer,
Lavender,Purple,,None,Winter,Elongated
Orchid,Purple,,Strong,Fall,Oval
Sunflower,Yellow,146.31407394496725,None,Fall,Round
Marigold,,48.240581157737545,None,Summer,Star-shaped
Orchid,White,30.36939464600863,None,Winter,Oval
Marigold,Yellow,50.45206714681338,Strong,Spring,Star-shaped
Tulip,Red,43.4365736001231,Mild,Summer,Elongated
Sunflower,Yellow,146.63846057827433,Mild,Winter,Round
Sunflower,Yellow,148.46624315270606,None,Summer,Round
Lavender,Purple,38.071733611260164,Strong,Winter,Elongated
Tulip,Yellow,,None,Spring,Elongated
Rose,Red,57.11815239856195,None,Spring,Oval
Daisy,Yellow,21.13299337870108,Mild,Spring,Round
Daisy,Yellow,24.607137637883447,Strong,Fall,Round
Lavender,Purple,41.79831489744763,Strong,Winter,Elongated
Marigold,Orange,45.91055279805372,None,Fall,Star-shaped
Tulip,Purple,46.06492303648487,None,Summer,Elongated
,Purple,,Strong,Summer,Oval
Daisy,Yellow,22.77289066237866,,Winter,Round
Marigold,Yellow,50.94015463927448,Mild,Summer,Star-shaped
Sunflower,Yellow,146.30287312858266,Strong,Summer,Round
Lavender,Purple,,Strong,Winter,Elongated
Rose,Pink,61.49518950576708,Strong,Fall,Oval
Daisy,White,26.102181320397246,Mild,Spring,Round
Marigold,Yellow,45.350944202759436,Strong,Fall,Star-shaped
Marigold,Orange,,None,Spring,Star-shaped
Rose,Red,55.915384972801355,Strong,Summer,Oval
Daisy,Yellow,22.94607703948714,None,Winter,Round
Tulip,Yellow,49.878270651988565,Strong,Spring,Elongated
Marigold,Yellow,,Strong,Summer,Star-shaped
,Yellow,45.36266547319209,Strong,Spring,Elongated
Orchid,White,26.50098334148541,Mild,Fall,Oval
Sunflower,Yellow,146.5776048541877,Mild,Winter,Round
Marigold,,54.379055601066085,Mild,Fall,Star-shaped
Rose,White,55.194287396559304,Mild,,Oval
Lavender,Purple,38.79913288691375,,Winter,Elongated
Marigold,Orange,53.797281227117324,,Summer,Star-shaped
Marigold,Orange,54.98863638441416,Strong,Winter,Star-shaped
Daisy,White,25.196997912563297,None,,Round
